"JUR","PARID","TAXYR","CATEGORY","PPTYPE","FILEYR","YRACQD","NOUNITS","ACQUISITION_COST","EFFECTIVE_LIFE","CONSIGNER_OWNER_NAME","CONSIGNER_MAILING_ADDR","CONSIGNER_RENTAL_AMT","ITEM_DESCRIPTION","CONSIGNER_TEL_NO"
"2","237-ROYALSTP","2025","08","15","2025","2013","1","75006","12","NULL","NULL","NULL","NULL","NULL"
"2","237-ROYALSTP","2025","08","15","2025","2014","1","673","12","NULL","NULL","NULL","NULL","NULL"
"2","237-ROYALSTP","2025","08","15","2025","2022","1","6852","12","NULL","NULL","NULL","NULL","NULL"
"2","237-ROYALSTP","2025","10","104","2025","2013","1","99198","12","NULL","NULL","NULL","NULL","NULL"
"2","237-ROYALSTP","2025","13","0","2025","2013","1","300329","12","NULL","NULL","NULL","Leasehold Improvements","NULL"
"2","401-NGALVEZSTP","2025","10","18","2025","2012","1","14570","8","NULL","NULL","NULL","NULL","NULL"
"2","401-NGALVEZSTP","2025","10","18","2025","2011","1","5616","8","NULL","NULL","NULL","NULL","NULL"
"2","630-STPETERSTP","2025","10","127","2025","2023","1","55279","20","NULL","NULL","NULL","NULL","NULL"
"2","630-STPETERSTP","2025","13","0","2025","2023","1","10200","12","NULL","NULL","NULL","Roof improvements","NULL"
"2","630-STPETERSTP","2025","13","0","2025","2023","1","7800","12","NULL","NULL","NULL","Decking improvements","NULL"
"2","521-CONTISTP","2025","08","13","2025","2006","1","2000","12","NULL","NULL","NULL","NULL","NULL"
"2","521-CONTISTP","2025","08","13","2025","2023","1","2000","12","NULL","NULL","NULL","NULL","NULL"
"2","521-CONTISTP","2025","10","70","2025","2014","1","5000","3","NULL","NULL","NULL","NULL","NULL"
"2","521-CONTISTP","2025","10","70","2025","2018","1","1500","3","NULL","NULL","NULL","NULL","NULL"
"2","521-CONTISTP","2025","10","70","2025","2021","1","2000","3","NULL","NULL","NULL","NULL","NULL"
"3","3018-ELYSIANFIELDSAVP","2025","10","157","2025","2006","1","22552","12","NULL","NULL","NULL","NULL","NULL"
