BUSINESS_TYPE_ID,BUSINESS_CODE,BUSINESS_DESCRIPTION
1,327910,Abrasive Product Manufacturing
2,325520,Adhesive Manufacturing
3,924110,Administration of Air and Water Resource and Solid Waste Manageme
4,924120,Administration of Conservation Programs
5,923110,Administration of Education Programs
6,926110,Administration of General Economic Programs
7,925110,Administration of Housing Programs
8,923130,"Administration of Human Resource Programs (except Education, Publ"
9,923120,Administration of Public Health Programs
10,925120,Administration of Urban Planning and Community and Rural Developm
11,923140,Administration of Veterans' Affairs
12,541611,Administrative Management and General Management Consulting Servi
13,541810,Advertising Agencies
14,541870,Advertising Material Distribution Services
15,711410,"Agents and Managers for Artists, Athletes, Entertainers, and Othe"
16,517122,Agents for Wireless Telecommunications Services
17,488111,Air Traffic Control
18,333912,Air and Gas Compressor Manufacturing
19,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial an
20,336412,Aircraft Engine and Engine Parts Manufacturing
21,336411,Aircraft Manufacturing
22,713990,All Other Amusement and Recreation Industries
23,112990,All Other Animal Production
24,811198,All Other Automotive Repair and Maintenance
25,325199,All Other Basic Organic Chemical Manufacturing
26,561499,All Other Business Support Services
27,532289,All Other Consumer Goods Rental
28,322299,All Other Converted Paper Product Manufacturing
29,455219,All Other General Merchandise Retailers
30,111199,All Other Grain Farming
31,456199,All Other Health and Personal Care Retailers
32,449129,All Other Home Furnishings Retailers
33,333248,All Other Industrial Machinery Manufacturing
34,524298,All Other Insurance Related Activities
35,541199,All Other Legal Services
36,621999,All Other Miscellaneous Ambulatory Health Care Services
37,325998,All Other Miscellaneous Chemical Product and Preparation Manufact
38,111998,All Other Miscellaneous Crop Farming
39,335999,All Other Miscellaneous Electrical Equipment and Component Manufa
40,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
41,311999,All Other Miscellaneous Food Manufacturing
42,333998,All Other Miscellaneous General Purpose Machinery Manufacturing
43,339999,All Other Miscellaneous Manufacturing
44,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
45,459999,All Other Miscellaneous Retailers
46,611699,All Other Miscellaneous Schools and Instruction
47,314999,All Other Miscellaneous Textile Product Mills
48,562998,All Other Miscellaneous Waste Management Services
49,321999,All Other Miscellaneous Wood Product Manufacturing
50,621498,All Other Outpatient Care Centers
51,812990,All Other Personal Services
52,324199,All Other Petroleum and Coal Products Manufacturing
53,486990,All Other Pipeline Transportation
54,326199,All Other Plastics Product Manufacturing
55,541990,"All Other Professional, Scientific, and Technical Services"
56,513199,All Other Publishers
57,326299,All Other Rubber Product Manufacturing
58,445298,All Other Specialty Food Retailers
59,238990,All Other Specialty Trade Contractors
60,488999,All Other Support Activities for Transportation
61,561990,All Other Support Services
62,517810,All Other Telecommunications
63,485999,All Other Transit and Ground Passenger Transportation
64,336999,All Other Transportation Equipment Manufacturing
65,561599,All Other Travel Arrangement and Reservation Services
66,721199,All Other Traveler Accommodation
67,331313,Alumina Refining and Primary Aluminum Production
68,331524,Aluminum Foundries (except Die-Casting)
69,331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
70,621910,Ambulance Services
71,921150,American Indian and Alaska Native Tribal Governments
72,332993,Ammunition (except Small Arms) Manufacturing
73,713120,Amusement Arcades
74,713110,Amusement and Theme Parks
75,334516,Analytical Laboratory Instrument Manufacturing
76,311611,Animal (except Poultry) Slaughtering
77,112910,Apiculture
78,315990,Apparel Accessories and Other Apparel Manufacturing
79,315120,Apparel Knitting Mills
80,111331,Apple Orchards
81,811412,Appliance Repair and Maintenance
82,611513,Apprenticeship Training
83,541310,Architectural Services
84,561613,Armored Car Services
85,459920,Art Dealers
86,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
87,324121,Asphalt Paving Mixture and Block Manufacturing
88,324122,Asphalt Shingle and Coating Materials Manufacturing
89,623312,Assisted Living Facilities for the Elderly
90,334310,Audio and Video Equipment Manufacturing
91,334512,"Automatic Environmental Control Manufacturing for Residential, Co"
92,611692,Automobile Driving Schools
93,336110,Automobile and Light Duty Motor Vehicle Manufacturing
94,423110,Automobile and Other Motor Vehicle Merchant Wholesalers
95,811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
96,811122,Automotive Glass Replacement Shops
97,811191,Automotive Oil Change and Lubrication Shops
98,441330,Automotive Parts and Accessories Retailers
99,445291,Baked Goods Retailers
100,332991,Ball and Roller Bearing Manufacturing
101,812111,Barber Shops
102,334412,Bare Printed Circuit Board Manufacturing
103,335910,Battery Manufacturing
104,812112,Beauty Salons
105,721191,Bed-and-Breakfast Inns
106,112111,Beef Cattle Ranching and Farming
107,424810,Beer and Ale Merchant Wholesalers
108,445320,"Beer, Wine, and Liquor Retailers"
109,311313,Beet Sugar Manufacturing
110,111334,Berry (except Strawberry) Farming
111,325414,Biological Product (except Diagnostic) Manufacturing
112,221117,Biomass Electric Power Generation
113,337920,Blind and Shade Manufacturing
114,621991,Blood and Organ Banks
115,336612,Boat Building
116,441222,Boat Dealers
117,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
118,513130,Book Publishers
119,459210,Book Retailers and News Dealers
120,424920,"Book, Periodical, and Newspaper Merchant Wholesalers"
121,323117,Books Printing
122,312112,Bottled Water Manufacturing
123,713950,Bowling Centers
124,311230,Breakfast Cereal Manufacturing
125,312120,Breweries
126,423320,"Brick, Stone, and Related Construction Material Merchant Wholesal"
127,313210,Broadwoven Fabric Mills
128,112320,Broilers and Other Meat Type Chicken Production
129,339994,"Broom, Brush, and Mop Manufacturing"
130,541350,Building Inspection Services
131,339995,Burial Casket Manufacturing
132,485113,Bus and Other Motor Vehicle Transit Systems
133,813910,Business Associations
134,611410,Business and Secretarial Schools
135,722514,"Cafeterias, Grill Buffets, and Buffets"
136,311314,Cane Sugar Manufacturing
137,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufa"
138,811192,Car Washes
139,335991,Carbon and Graphite Product Manufacturing
140,314110,Carpet and Rug Mills
141,561740,Carpet and Upholstery Cleaning Services
142,721120,Casino Hotels
143,713210,Casinos (except Casino Hotels)
144,722320,Caterers
145,112112,Cattle Feedlots
146,327310,Cement Manufacturing
147,812220,Cemeteries and Crematories
148,485510,Charter Bus Industry
149,311513,Cheese Manufacturing
150,112310,Chicken Egg Production
151,624410,Child Care Services
152,624110,Child and Youth Services
153,311351,Chocolate and Confectionery Manufacturing from Cacao Beans
154,111320,Citrus (except Orange) Groves
155,813410,Civic and Social Organizations
156,524291,Claims Adjusting
157,327120,Clay Building Material and Refractories Manufacturing
158,424350,Clothing and Clothing Accessories Merchant Wholesalers
