NOA_PP_LAT_5_ID|JUR|PARID|ALTID|TAXYR|OWNERNAME|ADDR1|ADDR2|CITYNAME|STATECODE|ZIP1|PIN|CONTACT_NAME|CONTACT_PHONE|CONTACT_FAX|CONTACT_EMAIL|PROPERTY_ADDRESS|TAXPAYER_NAME|TAXPAYER_PREPARED_DATE|TAX_PREPARER_NAME|TAX_PREPARER_PHONE|TAX_PREPARER_EMAIL|TAX_PREPARER_PREPARED_DATE|FORM_ID
1|3|11221-GENTILLYRDP|39P016478P|2014|"GREAT SOUTHERN MOTOR CARGO| INC."|"11221 OLD GENTILLY ROAD"||"NEW ORLEANS"|LA|70129|123456|"Test Owner Two"|5048887777||here@there.com|"11221  GENTILLY RD "|||"David Vazquez"|5048889999|david@here.com|2013-02-18|1
2|3|10816-HAYNEBLP|39P016643P|2014|"BRAIN FREEZE ETC"|"10816 HAYNE BLVD"||"NEW ORLEANS"|LA|70127|123456|"Bill Tester"|5048889999||one@two.com|"10816  HAYNE BL "|||||||2
3|3|1825-GENTILLYBDP|37P122201P|2014|"B & C SUPER MARKET"|"1825 GENTILLY BLVD"|"c/o ABDELWAHHAB| INC."|"NEW ORLEANS"|LA|70119|123456|"Bill Doner"|8889998888||one@meow.com|"1825  GENTILLY BD "|||||||3
4|3|1815-POLANDAVP|39P119201P|2014|"GARFIELD WASH SPOT"|"1815 POLAND AVE"||"NEW ORLEANS"|LA|70117|123456|"Bill Gross"|5046461313||bgross@gross.com|"1815  POLAND AV "|||||||4
5|3|1816-NCLAIBORNEAVP|37P013100P|2014|"ELITE PROPERTY MANAGEMENT"|"1816 N CLAIBORNE AVENUE"||"NEW ORLEANS"|LA|70116|123456|"Jim Elliot"|5045551215|5045551213|jelliot@test.net|"1816 N CLAIBORNE AV "|"Jim Elliot"||"Steve Thompson"|5041235689|thompson@steve.com|2013-01-30|5
6|3|1812-NCLAIBORNEAVP|37P013099P|2014|"POSTIVE TALK BARBER & BEAUTY| LLC"|"940 ELMIRA AVE"||"NEW ORLEANS"|LA|70114|123456|"Steve Jones"|5045551316||jones@jones.com|"1812 N CLAIBORNE AV "|||||||6
7|3|1812-ONZAGASTP|37P107801P|2014|"DANNY'S PACKAGE LIQUOR"|"P & N ENTERPRISES INC"|"1812 ONZAGA STREET"|"NEW ORLEANS"|LA|70116|123456|"NGOAN HOANG"|5042327595||Jimtester@tester.com|"1812  ONZAGA ST "|||||||7
8|3|181-TORREYPINESDRP|39P205899P|2014|"GW&D & ASSOCIATES"|"181 TORREY PINES DRIVE"||"NEW ORLEANS"|LA|70128|123456|||||"181  TORREY PINES DR "|||||||8
9|3|10828-HAYNEBLP|39P016644P|2014|"WALKER SOUTHERN STYLE BBQ| LLC"|"10828 HAYNE BLVD"||"NEW ORLEANS"|LA|70127|123456|Blah|3838889999||one@two.com|"10828  HAYNE BL "|||||||9
10|3|1801-STCLAUDEAVP|37P103201P|2014|"QUALITY SERVICE CO"|"1801 ST CLAUDE AVE"||"NEW ORLEANS"|LA|70116|123456|shit|8889998888||one@two.com|"1801  ST CLAUDE AV "|||||||10
