SECTION_NUMBER,CATEGORY,PPTYPE,PERSONAL PROPERTY TYPE - machinery and equipment/Furniture and Fixtures,AVERAGE/ECONOMIC LIFE IN YEARS
2,08,1,Banks-Furniture & Fixtures,12
2,08,2,Barber & Beauty Shops,10
2,08,3,Cocktail & Beer Bars,10
2,08,4,Department Store Furniture ,12
2,08,5,Drug Store F & F,12
2,08,6,Grocery Store F & F,12
2,08,7,Hardware Store F & F,12
2,08,8,Hospitals & Nursing Home- F& F,12
2,08,9,Hospitals & Nursing Home- Matresses,3
2,08,10,Hotel F & F,10
2,08,11,Jewelry Store F & F ,12
2,08,99,Miscellaneous F & F,12
2,08,12,Motel Furniture ,10
2,08,13,Office F & F,12
2,08,14,Restaurants  Drive-Ins - F & F,10
2,08,15,Stores -F&F (Retail),12
2,08,16,Stores- F&F (wholesale),12
2,08,17,Theater-F & F,15
3,10,1,Agricultural Machinery & Equipment,10
3,10,2,Agricultural Machinery & Equipment/Feed Mill Equipment (Production Line),20
3,10,3,Air Conditioning & Heat Repair,10
3,10,4,Air Conditioning Single Room Unit,8
3,10,5,Aircraft Parts Mfg. M & E,12
3,10,6,All Terrain Vehicles,10
3,10,7,Aluminum Industry M & E,20
3,10,8,Amusement & Theme Parks,12
3,10,9,Amusement Devices (Inflatable Air Bouncers),5
3,10,10,"Amusement Devices (Music, Pinball Mach., etc.)",12
3,10,11,Amusement Devices (VCR & DVD Players),5
3,10,12,Amusement Devices (Video Games),3
3,10,13,Amusement Devices (Video poker gaming Equipment),5
3,10,14,"Antenna (ex. Mounted on Towers) for CATV, etc.",8
3,10,15,Apparel Mfg. M & E,20
3,10,16,Auto Parts Retail,10
3,10,17,Auto Quick Service,10
3,10,18,Auto Repair M & E,8
3,10,19,Auto Repair M & E/Diagnostic Equipment (Electronic),5
3,10,20,Auto Repair M & E/Paint Booths,15
3,10,21,Auto Repair M & E/Small Tools,5
3,10,22,"Bakeries:Commercial (i.e. Albertson's, Mom & Pop, etc.)",12
